0 1 2 3 4 5 6 7 8
000030 20170421 12:51 14,350 150 14,350 14,300 512,127 986
000030 20170421 12:50 14,350 150 14,350 14,300 511,141 555
000030 20170421 12:49 14,300 100 14,350 14,300 510,586 996
000030 20170421 12:48 14,350 150 14,350 14,300 509,590 812
000030 20170421 12:47 14,300 100 14,350 14,300 508,778 905
000030 20170421 12:46 14,350 150 14,350 14,300 507,873 1,255
000030 20170421 12:45 14,300 100 14,350 14,300 506,618 910
000030 20170421 12:44 14,300 100 14,350 14,300 505,708 3,711
000030 20170421 12:43 14,350 150 14,350 14,300 501,997 628
000030 20170421 12:42 14,300 100 14,350 14,300 501,369 428
000030 20170421 12:41 14,300 100 14,350 14,300 500,941 406
000030 20170421 12:40 14,350 150 14,350 14,300 500,535 974
000030 20170421 12:39 14,350 150 14,350 14,300 499,561 641
000030 20170421 12:38 14,300 100 14,350 14,300 498,920 2,084
000030 20170421 12:37 14,300 100 14,350 14,300 496,836 189
000030 20170421 12:36 14,300 100 14,350 14,300 496,647 81,645
000030 20170421 12:35 14,300 100 14,300 14,250 415,002 23,149
000030 20170421 12:34 14,300 100 14,300 14,250 391,853 2,927
000030 20170421 12:33 14,300 100 14,300 14,250 388,926 1,992
000030 20170421 12:32 14,300 100 14,300 14,250 386,934 1,613
000030 20170421 12:31 14,250 50 14,300 14,250 385,321 2,706
000030 20170421 12:30 14,300 100 14,300 14,250 382,615 850
000030 20170421 12:29 14,300 100 14,300 14,250 381,765 6,321
000030 20170421 12:28 14,300 100 14,300 14,250 375,444 2,085
000030 20170421 12:27 14,300 100 14,300 14,250 373,359 1,933
000030 20170421 12:26 14,300 100 14,300 14,250 371,426 708
000030 20170421 12:25 14,300 100 14,300 14,250 370,718 485
000030 20170421 12:24 14,300 100 14,300 14,250 370,233 565
000030 20170421 12:23 14,250 50 14,300 14,250 369,668 922
000030 20170421 12:22 14,250 50 14,300 14,250 368,746 2,140
000030 20170421 12:21 14,300 100 14,300 14,250 366,606 692
000030 20170421 12:20 14,300 100 14,300 14,250 365,914 1,536
000030 20170421 12:19 14,300 100 14,300 14,250 364,378 844
000030 20170421 12:18 14,250 50 14,300 14,250 363,534 430
000030 20170421 12:17 14,300 100 14,300 14,250 363,104 384
000030 20170421 12:16 14,300 100 14,300 14,250 362,720 1,222
000030 20170421 12:15 14,300 100 14,300 14,250 361,498 1,064
000030 20170421 12:14 14,300 100 14,300 14,250 360,434 1,543
000030 20170421 12:13 14,250 50 14,300 14,250 358,891 507
000030 20170421 12:12 14,300 100 14,300 14,250 358,384 1,739
000030 20170421 12:11 14,250 50 14,300 14,250 356,645 2,584
000030 20170421 12:10 14,250 50 14,300 14,250 354,061 423
000030 20170421 12:09 14,300 100 14,300 14,250 353,638 383
000030 20170421 12:08 14,250 50 14,300 14,250 353,255 446
000030 20170421 12:07 14,300 100 14,300 14,250 352,809 804
000030 20170421 12:06 14,300 100 14,300 14,250 352,005 629
000030 20170421 12:05 14,250 50 14,300 14,250 351,376 747
000030 20170421 12:04 14,250 50 14,300 14,250 350,629 2,929
000030 20170421 12:03 14,300 100 14,300 14,250 347,700 2,137
000030 20170421 12:02 14,300 100 14,300 14,250 345,563 15,075
000030 20170421 12:01 14,300 100 14,300 14,250 330,488 1,396
000030 20170421 12:00 14,250 50 14,300 14,250 329,092 3,109
000030 20170421 11:59 14,250 50 14,300 14,250 325,983 823
000030 20170421 11:58 14,300 100 14,300 14,250 325,160 808
000030 20170421 11:57 14,300 100 14,300 14,250 324,352 675
000030 20170421 11:56 14,300 100 14,300 14,250 323,677 306
000030 20170421 11:55 14,300 100 14,300 14,250 323,371 1,110
000030 20170421 11:54 14,300 100 14,300 14,250 322,261 1,817
000030 20170421 11:53 14,300 100 14,300 14,250 320,444 468
000030 20170421 11:52 14,300 100 14,300 14,250 319,976 854
000030 20170421 11:51 14,300 100 14,300 14,250 319,122 10,892
000030 20170421 11:50 14,300 100 14,300 14,250 308,230 1,123
000030 20170421 11:49 14,250 50 14,300 14,250 307,107 783
000030 20170421 11:48 14,300 100 14,300 14,250 306,324 634
000030 20170421 11:47 14,250 50 14,300 14,250 305,690 1,117
000030 20170421 11:46 14,300 100 14,300 14,250 304,573 649
000030 20170421 11:45 14,300 100 14,300 14,250 303,924 1,467
